s.no,users_name,users_reviews,users_followers,creation_time,rating,review_text
1,Raj Chauhan,1 Review,0 Followers,2018-07-02,Rated 2.5,Delivery should be on time... Short Delivery of 5 pics..
2,Jannat Kaur,2 Reviews,1 Follower,2018-07-02,Rated 1.5,Very poor quality of burgers not freshly cooked. Don't follow the instructions which we give. Need to improve fast
3,TANZEEM AHMED,1 Review,0 Followers,2018-07-02,Rated 1.5,unsatisfactory
4,Juri Boro,44 Reviews,205 Followers,2018-07-02,Rated 5.0,"Burger King is one of the cheapest and pocket friendly outlets for Burgers and fries.The service was quick and the food was great. The ambiance is good. We ordered 3 burger meals, cheesy fries and a strawberry sundae. Everything tasted great."
5,Budrana,8 Reviews,1 Follower,2018-07-01,Rated 5.0,Amazingly great.As usual 6star service
6,Monika Singh,3 Reviews,0 Followers,2018-07-19,Rated 3.5,good
7,Mohammad Arshad,1 Review,6 Followers,2018-07-19,Rated 5.0,fine
8,Curves&curlls,21 Reviews,28 Followers,2018-07-19,Rated 5.0,"This outlet is located in a food court in nehru place and it is such a lively place with full of people around. There are many other amazing outlets as well. Definitely a must visit place if you are in nehru place, it's under the metro station only."
9,Kabir Chugh,2 Reviews,92 Followers,2018-07-18,Rated 1.5,Pathetic food. Dry burgers. Overdone patties. Artificial food.
10,Hemant Mehra,9 Reviews,26 Followers,2018-07-17,Rated 5.0,good
11,Himanshu Goyal,6 Reviews,3 Followers,2018-07-22,Rated 3.5,The food wasn't properly packed otherwise my burgers had a great taste
12,Tanmay Goel,1 Review,0 Followers,2018-07-22,Rated 3.5,Cold not so good food
13,Nikhita Mehra,2 Reviews,5 Followers,2018-07-22,Rated 5.0,very good service and very tasty burger
14,Aditi Gupta,3 Reviews,31 Followers,2018-07-22,Rated 3.5,food was good but it was cold
15,Saleemakv860,1 Review,1 Follower,2018-07-22,Rated 5.0,fries are not fresh
16,Meipaw Zatha Chozah,2 Reviews,0 Followers,2018-07-05,Rated 1.5,Burger n fries was cold... Not upto expectation
17,Shahzad Hussain,2 Reviews,0 Followers,2018-07-05,Rated 5.0,good
18,Parul Suri,14 Reviews,80 Followers,2018-07-05,Rated 5.0,As usual. Always yummy. thanks
19,Kumar Divyanshu,2 Reviews,23 Followers,2018-07-05,Rated 1.5,too cold
20,Kulwant7777,9 Reviews,593 Followers,2018-07-04,Rated 5.0,Good place to have burgers
21,Ricky Behal,3 Reviews,1 Follower,2018-07-08,Rated 5.0,awesome burger
22,Chandra,1 Review,1 Follower,2018-07-06,Rated 5.0,very gud service
23,Gaurav Sharma,3 Reviews,1 Follower,2018-07-06,Rated 1.5,taste was not good
24,Nav Arun,1 Review,0 Followers,2018-07-06,Rated 1.5,Food received in very bad condition. All of the burgers were squeezed and crushed. The packaging was all torn up.
25,Shivayan Bhattacharjee,3 Reviews,5 Followers,2018-07-06,Rated 2.5,"Very very average food . Packing was third class. We ordered 2 chicken woopers , fries and chicken fries . The burger has meat without adequate seasoning and terribly over cooked .The fries were good . Finally , don't get me started about the chicken fries . It tasted like chiken feet fries . Most probably the worst thing that I have ever had . I don't know whether burger king was always like this or this particular order.  Don't think will order again."
26,Harsh,1 Review,1 Follower,2018-07-04,Rated 5.0,best
27,Ritesh Ajmera,1 Review,1 Follower,2018-07-04,Rated 5.0,Good One
28,Vasu Aggarwal,2 Reviews,15 Followers,2018-07-04,Rated 1.5,Didn't deliver the full items.
29,Sahil Yadav,4 Reviews,18 Followers,2018-07-03,Rated 1.5,Didnt get the full order
30,Farheen,2 Reviews,1 Follower,2018-07-03,Rated 5.0,coke could have been more chilled
31,Christin Joseph,2 Reviews,1 Follower,2018-07-03,Rated 3.5,decent food
32,Nancy Panwar,1 Review,0 Followers,2018-07-03,Rated 5.0,it was great
33,Rubal Bhagat,2 Reviews,2 Followers,2018-07-03,Rated 1.5,very bad experience
